arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuous_tilted_s,terrain_z_min,terrain_z_max,terrain_z_span_m
A038,303,stairs_10_down,13,1,0,1,2.24,0.0,-0.7000012729257186,-0.606951739061325,0.09304953386439352
A038,303,stairs_10_down,14,1,0,1,10.18,0.0,-0.6978619111412987,-0.5844921173258899,0.11336979381540879
A038,303,stairs_10_down,15,1,0,1,5.42,0.0,-0.7000011709284655,-0.523529083333551,0.1764720875949145
A038,303,stairs_10_down,16,1,0,1,1.5,0.0,-0.7000011811281908,-0.5449195290631789,0.1550816520650119
A038,303,stairs_10_down,17,1,0,1,12.7,0.0,-0.7000013443237958,-0.5427806160666726,0.1572207282571232
A038,303,stairs_10_down,18,1,0,1,17.88,0.0,-0.7000002121542864,-0.6074865820573613,0.09251363009692515
A038,303,stairs_10_down,19,1,0,1,13.62,0.0,-0.7000011811281908,-0.5973264520818536,0.10267472904633712
A038,303,stairs_10_down,20,1,0,1,11.46,0.0,-0.6951875227657869,-0.5422458240692628,0.15294169869652408
A038,303,stairs_10_down,21,1,0,1,8.14,0.0,-0.7000012831254439,-0.579679315740412,0.12032196738503187
A038,303,stairs_10_down,22,1,0,1,11.12,0.0,-0.7000002733526383,-0.5026736947941908,0.19732657855844749
A038,303,stairs_10_down,23,1,0,1,13.48,0.0,-0.7000014259215982,-0.527272453920089,0.17272897200150916
A038,303,stairs_10_down,24,1,0,1,16.26,0.0,-0.7000008139380797,-0.579679285141236,0.12032152879684366
A038,303,stairs_10_down,25,1,0,1,12.9,0.0,-0.7000017115139069,-0.5433155814594126,0.15668613005449428
A038,303,stairs_10_down,26,1,0,1,14.28,0.0,-0.7000008445372556,-0.5775405353403347,0.12246030919692097
A038,303,stairs_10_down,27,1,0,1,9.04,0.0,-0.7000015585180273,-0.6074870002460989,0.09251455827192834
A038,303,stairs_10_down,28,1,0,1,4.26,0.0,-0.7000008547369809,-0.5401071048675374,0.1598937498694435
A038,303,stairs_10_down,29,1,0,1,10.46,0.0,-0.7000016401158297,-0.5187164653431285,0.18128517477270112
A038,303,stairs_10_down,30,1,0,1,15.46,0.0,-0.6967930207278001,-0.5941181080864075,0.10267491264139261
A038,303,stairs_10_down,31,1,0,1,17.04,0.0,-0.7000015279188513,-0.5914443112949637,0.10855721662388762
A033,101,rough_lateral,0,0,0,0,0.0,0.0,0.053252888235816344,0.05887199850643382,0.005619110270617476
A033,101,rough_lateral,1,1,1,1,0.8,0.88,0.05364716881736715,0.06165538114659926,0.008008212329232114
A033,101,rough_lateral,2,0,1,1,0.4,0.7,0.053828224141330004,0.060799817987941804,0.0069715938466118
A033,101,rough_lateral,3,0,0,0,0.0,0.0,0.05633387846105239,0.06359070762593479,0.007256829164882399
A033,101,rough_lateral,4,0,1,1,0.44,0.94,0.0553121107784822,0.0651878826120958,0.009875771833613593
A033,101,rough_lateral,5,0,0,0,0.0,0.0,0.05497678460921833,0.06023650755856764,0.005259722949349309
A033,101,rough_lateral,6,0,0,0,0.18,0.3,0.05374656514050489,0.0640234411719011,0.010276876031396216
A033,101,rough_lateral,7,0,0,0,0.0,0.38,0.0549012352438534,0.06038088467031877,0.005479649426465366
A033,101,rough_lateral,8,1,1,1,0.64,0.76,0.0560114549443046,0.06408992298146621,0.008078468037161605
A033,101,rough_lateral,9,0,0,0,0.0,0.0,0.05445040738518863,0.062237183677958934,0.007786776292770303
A033,101,rough_lateral,10,0,1,1,0.34,0.56,0.04552840166550907,0.06202239786239869,0.01649399619688962
A033,101,rough_lateral,11,0,0,0,0.0,0.0,0.05669105244192848,0.0606008927452373,0.00390984030330882
A033,101,rough_lateral,12,0,0,0,0.22,0.46,0.05732453698142965,0.06143592385684743,0.0041113868754177815
A033,101,rough_lateral,13,0,0,0,0.0,0.0,0.0564632007782472,0.06110801288788331,0.004644812109636111
A033,101,rough_lateral,14,0,0,0,0.0,0.0,0.05574170280905331,0.0643952007599693,0.008653497950915988
A033,101,rough_lateral,15,0,0,0,0.0,0.0,0.04361548398267777,0.06578382196273395,0.022168337980056185
