arm,case,seed,env_id,observed,valid_seconds,stall_seconds,stall_share,first_step_time_s,censored,reason
CreatorTemp,stairs_10_down,202,16,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,17,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,18,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,19,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,20,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,21,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,22,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,23,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,24,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,25,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,26,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,27,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,28,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,29,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,30,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,202,31,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,0,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,1,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,2,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,3,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,4,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,5,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,6,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,7,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,8,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,9,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,10,False,,,,,,environment absent from steps.csv
CreatorTemp,stairs_10_down,303,11,False,,,,,,environment absent from steps.csv
